type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,3,1,1,1,1,0,0,0,-89,1,6,1,784702753,0,84,0,0,784.893,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 18 -4 18 -5 18 -5 19 -6 18 -7 18 -8 18 -8 18 -8 17 -8 17 -8 17 -8 16 -8 16 -8 16 -8 16 -8 16 -8 17 -7 16 -8 17 -8 17 -9 17 -9 17 -9 17 -9 17 -9 17 -9 17 0 0 -9 17 -9 16 -9 16 -7 15 -8 16 -7 16 -7 16 -6 16 -6 16 -5 16 -4 18 -4 18 -4 18 -4 19 -4 18 -4 19 -4 18 -4 20 -4 19 -3 19 -4 20 -4 20 -3 20 -2 20 -2 21 -3 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784713851,0,84,0,0,784.904,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 3 9 4 9 4 9 5 8 5 8 5 8 5 8 5 8 6 7 6 7 6 7 6 7 6 7 6 7 6 7 5 7 6 7 5 8 6 8 6 8 6 8 6 7 6 8 6 7 7 7 7 0 0 7 6 7 6 7 6 7 5 7 6 7 5 7 5 7 4 7 4 7 4 8 4 8 4 8 4 9 4 9 4 9 4 9 4 9 4 9 4 9 3 10 4 10 4 10 4 10 4 10 4 10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784719207,0,84,0,0,784.909,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 -2 17 -2 16 -2 18 -1 17 -1 18 0 17 0 17 1 16 1 16 2 17 2 16 3 16 3 15 2 16 2 16 1 17 1 15 1 17 1 17 0 17 1 17 1 17 2 17 2 17 3 17 3 0 0 17 2 16 2 17 2 15 1 16 1 16 0 15 0 15 -1 15 -1 15 -1 16 -1 16 -1 16 -2 17 -3 16 -2 18 -3 16 -4 18 -4 17 -4 17 -5 18 -5 17 -5 17 -5 18 -5 18 -4 18 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784732282,0,84,0,0,784.922,384,[84 -64 4 0 0 0 0 0 0 0 0 0 5 -14 6 -15 7 -14 7 -15 8 -14 8 -14 8 -14 9 -13 9 -13 9 -12 10 -12 9 -12 9 -12 9 -12 9 -12 9 -12 9 -12 9 -12 9 -13 9 -13 9 -13 10 -13 10 -13 10 -13 10 -13 10 -13 0 0 10 -12 10 -12 10 -12 9 -12 9 -12 9 -12 8 -12 7 -12 7 -13 6 -13 6 -14 7 -14 7 -14 7 -15 7 -14 7 -15 7 -15 6 -16 6 -16 6 -16 6 -16 6 -16 6 -16 6 -17 7 -17 6 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784740957,0,84,0,0,784.931,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -13 9 -13 9 -12 10 -12 11 -12 11 -12 11 -11 11 -11 12 -10 12 -10 12 -10 12 -10 12 -10 11 -9 12 -9 11 -10 11 -10 11 -10 12 -10 12 -10 12 -10 12 -10 12 -10 13 -10 13 -10 13 -10 0 0 12 -9 12 -9 12 -9 11 -9 12 -9 11 -9 11 -10 10 -10 10 -11 9 -11 9 -12 10 -12 10 -12 10 -13 10 -12 10 -13 10 -13 10 -14 10 -14 9 -14 10 -14 10 -14 10 -14 10 -15 10 -15 10 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784750435,0,84,0,0,784.941,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 -14 -8 -15 -7 -14 -7 -16 -6 -15 -6 -16 -4 -16 -4 -16 -3 -16 -4 -15 -4 -16 -4 -15 -4 -15 -4 -15 -3 -16 -3 -15 -4 -16 -3 -15 -4 -16 -3 -16 -3 -16 -3 -16 -3 -16 -3 -16 -3 -17 -3 -17 0 0 -2 -16 -2 -15 -2 -16 -2 -15 -2 -15 -3 -15 -3 -15 -4 -14 -4 -15 -5 -14 -6 -14 -6 -15 -6 -15 -6 -16 -5 -15 -6 -17 -6 -15 -6 -16 -6 -16 -6 -16 -6 -17 -6 -16 -7 -16 -8 -16 -7 -17 -7 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784759234,0,84,0,0,784.949,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 9 3 9 3 9 3 10 2 9 2 10 1 10 1 10 1 10 1 9 1 10 1 9 1 9 1 9 1 10 1 9 1 10 1 9 1 10 1 10 1 10 0 10 1 9 1 10 1 10 1 10 0 0 0 10 0 9 0 10 0 8 1 9 1 9 1 9 1 9 1 9 2 8 2 9 3 9 3 9 3 10 2 9 3 10 3 9 3 10 3 10 3 9 3 10 3 10 4 9 4 9 4 10 4 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784771175,0,84,0,0,784.961,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 5 -9 5 -9 5 -10 5 -10 5 -10 4 -10 4 -10 4 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -9 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -11 3 -11 3 0 0 -10 3 -10 3 -10 3 -9 3 -10 3 -9 3 -9 3 -9 4 -9 4 -8 4 -8 5 -9 5 -9 5 -9 5 -9 5 -9 6 -9 5 -9 6 -9 6 -9 6 -9 6 -9 6 -9 6 -9 7 -9 7 -9 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784781094,0,84,0,0,784.971,384,[84 -64 4 0 0 0 0 0 0 0 0 0 14 -5 14 -4 14 -4 16 -3 15 -3 15 -3 15 -2 15 -1 15 -1 15 0 15 0 15 0 14 0 14 0 15 0 14 -1 15 0 14 0 15 0 15 0 15 0 16 0 15 0 15 1 16 1 16 1 0 0 15 1 15 1 15 1 14 0 14 0 14 0 14 0 14 -1 13 -1 13 -2 14 -2 15 -2 15 -2 15 -2 15 -2 16 -3 15 -3 15 -3 16 -3 15 -3 16 -3 16 -3 16 -3 16 -4 16 -3 16 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784789580,0,84,0,0,784.98,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -12 -12 -13 -12 -13 -12 -14 -11 -14 -11 -15 -10 -15 -10 -15 -9 -16 -9 -15 -9 -16 -9 -15 -9 -15 -8 -15 -9 -15 -8 -15 -9 -15 -8 -14 -9 -15 -9 -16 -9 -16 -9 -16 -9 -16 -9 -16 -9 -17 -9 -16 0 0 -8 -16 -8 -16 -8 -16 -8 -14 -8 -15 -8 -14 -9 -14 -9 -13 -9 -14 -10 -13 -11 -13 -11 -13 -12 -13 -12 -14 -11 -14 -12 -14 -12 -13 -12 -14 -13 -14 -12 -14 -13 -14 -13 -14 -13 -13 -14 -14 -14 -14 -14 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784799956,0,84,0,0,784.99,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -15 4 -16 4 -15 5 -16 5 -15 6 -16 6 -15 7 -15 7 -14 7 -14 7 -14 7 -14 7 -14 7 -13 7 -14 7 -13 7 -14 6 -13 7 -14 7 -14 7 -14 8 -14 8 -14 8 -14 8 -14 8 -15 0 0 8 -14 8 -13 8 -14 7 -13 7 -13 7 -13 7 -13 6 -13 6 -14 4 -14 4 -15 5 -15 5 -15 5 -16 5 -15 5 -16 5 -16 4 -16 4 -16 4 -16 4 -17 4 -17 4 -17 4 -17 4 -17 4 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-26,11,1,4,1,1,1,1,0,0,0,-89,1,6,1,784809987,0,84,0,0,785,384,[84 -64 4 0 0 0 0 0 0 0 0 0 2 14 1 15 1 15 0 15 0 16 -1 15 -1 15 -2 15 -2 15 -2 15 -3 15 -3 14 -3 14 -3 14 -3 14 -3 15 -3 14 -2 14 -2 14 -3 15 -3 15 -3 15 -4 15 -3 15 -4 15 -4 15 0 0 -4 14 -4 15 -3 14 -3 14 -3 14 -3 14 -2 14 -2 14 -2 14 -1 14 -1 14 -1 15 0 15 0 15 -1 15 0 15 0 16 0 15 0 16 0 16 1 16 0 16 1 17 1 17 0 17 0 17 0 0 0 0 0 0 0 0 0 0 ]
