type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,48:E7:29:89:3A:50,-32,11,1,5,1,1,1,1,0,0,0,-93,1,6,1,18719918,0,84,0,0,18.9112,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 13 12 12 13 13 11 13 12 14 10 13 11 14 10 13 11 13 10 13 9 13 10 13 10 13 10 13 10 13 11 14 10 13 11 14 10 13 11 13 10 13 11 13 10 14 10 13 10 13 10 13 0 0 11 13 12 13 11 12 12 13 11 12 12 12 12 13 12 12 12 13 12 14 11 14 12 13 11 13 12 13 13 13 12 12 13 14 12 13 12 13 12 13 12 13 12 12 12 13 11 12 11 13 11 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-32,11,1,5,1,1,1,1,0,0,0,-93,1,6,1,18730203,0,84,0,0,18.9215,384,[84 -64 4 0 0 0 0 0 0 0 0 0 0 21 0 20 -1 20 -2 20 -2 20 -2 19 -3 19 -3 18 -3 19 -3 18 -2 18 -2 18 -2 19 -2 19 -2 19 -2 20 -3 19 -3 19 -2 19 -3 19 -3 19 -3 19 -3 19 -2 19 -2 19 -2 19 0 0 -2 19 -1 19 -1 19 -1 20 -1 19 -1 20 -1 20 -1 20 -1 20 -1 20 -1 20 -1 20 -1 21 0 20 -1 21 -1 20 0 20 -1 20 -1 20 -1 19 -1 20 -1 19 0 19 0 19 0 19 0 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-31,11,1,4,1,1,1,1,0,0,0,-93,1,6,1,18741380,0,84,0,0,18.9327,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -19 -6 -19 -6 -19 -6 -19 -7 -18 -7 -17 -8 -17 -8 -17 -8 -16 -8 -16 -8 -16 -8 -17 -8 -17 -8 -17 -8 -17 -8 -18 -8 -17 -8 -17 -8 -17 -8 -17 -8 -17 -8 -17 -8 -16 -9 -16 -8 -17 -8 -17 -8 0 0 -17 -8 -18 -7 -17 -7 -18 -7 -18 -8 -18 -7 -18 -8 -18 -7 -18 -7 -18 -8 -18 -8 -18 -8 -18 -8 -18 -7 -19 -8 -18 -8 -19 -8 -18 -8 -17 -8 -17 -7 -17 -8 -17 -7 -17 -7 -17 -7 -17 -7 -17 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-32,11,1,5,1,1,1,1,0,0,0,-93,1,6,1,18756117,0,84,0,0,18.9475,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 7 16 8 16 9 16 9 15 9 14 9 14 9 14 9 14 9 14 9 14 8 14 9 14 9 15 9 15 9 14 10 14 10 14 9 14 9 14 9 14 9 14 10 13 9 14 9 14 9 14 9 0 0 14 9 15 9 15 9 15 9 15 8 15 9 15 9 15 9 15 9 15 9 15 9 16 9 16 9 16 9 15 10 15 9 16 9 15 9 14 9 14 9 15 9 15 9 15 9 15 8 14 8 14 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-29,11,1,2,1,1,1,1,0,0,0,-93,1,6,1,18764798,0,84,0,0,18.9562,384,[84 -64 4 0 0 0 0 0 0 0 0 0 15 -7 17 -8 15 -6 18 -7 15 -5 16 -5 15 -4 15 -4 15 -4 14 -4 15 -5 15 -5 15 -6 15 -5 16 -5 16 -5 17 -4 14 -4 16 -4 15 -3 16 -4 16 -3 15 -4 15 -5 16 -5 16 -6 0 0 16 -5 15 -5 17 -6 14 -6 17 -5 16 -5 16 -4 16 -5 16 -5 14 -6 16 -7 16 -5 16 -6 17 -6 15 -5 17 -6 15 -6 16 -6 16 -6 15 -5 15 -5 15 -5 14 -5 14 -7 15 -6 14 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-32,11,1,5,1,1,1,1,0,0,0,-93,1,6,1,18772172,0,84,0,0,18.9635,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 17 -13 17 -13 15 -14 15 -13 14 -14 14 -14 13 -14 12 -14 13 -13 12 -12 13 -13 14 -13 14 -13 14 -14 14 -13 14 -13 14 -13 13 -14 14 -15 13 -15 12 -15 13 -13 12 -13 13 -13 14 -13 14 0 0 -14 14 -12 14 -13 15 -13 14 -13 15 -14 14 -14 15 -14 14 -14 14 -13 15 -13 16 -13 16 -13 16 -14 15 -12 15 -13 16 -14 15 -14 16 -14 14 -14 15 -14 13 -14 14 -13 13 -12 15 -12 15 -12 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-31,11,1,4,1,1,1,1,0,0,0,-93,1,6,1,18782305,0,84,0,0,18.9737,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 14 -13 14 -14 14 -14 13 -15 12 -14 11 -14 11 -14 11 -14 11 -14 11 -13 11 -13 12 -13 11 -14 12 -14 11 -15 12 -14 11 -14 11 -14 11 -14 11 -15 10 -15 11 -14 11 -13 11 -14 12 -14 12 0 0 -14 12 -14 12 -13 12 -14 12 -13 12 -14 12 -14 12 -14 12 -15 13 -14 13 -13 13 -13 13 -14 13 -14 13 -15 13 -14 12 -14 13 -13 12 -14 12 -14 12 -14 12 -14 11 -13 12 -12 13 -13 12 -12 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-31,11,1,4,1,1,1,1,0,0,0,-93,1,6,1,18796096,0,84,0,0,18.9874,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 -11 16 -11 16 -10 17 -10 16 -9 16 -9 16 -8 15 -8 15 -7 15 -8 15 -8 15 -9 15 -9 15 -9 16 -9 16 -9 16 -8 15 -8 16 -8 16 -8 16 -8 16 -8 15 -8 15 -9 16 -9 15 -9 0 0 15 -10 15 -9 16 -10 15 -10 16 -10 16 -10 16 -10 16 -10 16 -11 15 -11 15 -11 16 -10 16 -11 16 -11 16 -10 16 -11 16 -11 16 -10 15 -10 15 -10 15 -11 15 -10 14 -11 14 -11 14 -11 14 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-31,11,1,4,1,1,1,1,0,0,0,-93,1,6,1,18803546,0,84,0,0,18.995,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 -20 -1 -19 -1 -20 1 -19 1 -20 2 -18 2 -18 2 -18 3 -17 0 -18 0 -18 -1 -18 0 -18 0 -18 1 -18 2 -19 2 -18 2 -18 2 -17 3 -18 2 -18 3 -18 1 -18 0 -18 0 -18 0 -18 0 0 1 -18 1 -19 1 -18 0 -19 1 -18 1 -19 1 -19 0 -19 1 -20 -1 -19 -1 -19 -1 -19 -1 -20 -1 -19 1 -20 1 -19 0 -19 0 -18 1 -19 1 -18 0 -19 2 -18 -1 -19 -1 -18 -1 -18 -1 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-31,11,1,4,1,1,1,1,0,0,0,-93,1,6,1,18811363,0,84,0,0,19.0028,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -20 3 -20 3 -20 2 -20 2 -20 1 -19 0 -18 0 -18 0 -18 0 -18 0 -18 0 -18 0 -18 0 -19 0 -19 0 -18 1 -18 1 -18 0 -18 0 -18 0 -18 0 -19 0 -18 0 -18 0 -19 0 -18 0 0 0 -19 1 -19 2 -19 2 -19 2 -19 2 -19 2 -19 2 -19 2 -19 3 -19 2 -19 2 -20 2 -20 2 -20 3 -19 2 -19 3 -20 3 -19 2 -18 3 -18 2 -18 2 -19 2 -18 2 -18 3 -18 2 -18 3 0 0 0 0 0 0 0 0 0 0 ]
